id,radius_m,annual_mean_temp,annual_precipitation
EHI01272,100,8.279166221618652,796
EHI02760,100,9.341666221618652,1564
EHI01342,100,17.39583400239357,254.9999920133115
EHI02846,100,11.845833778381348,599
EHI01253,100,9.625,671
EHI02796,100,12.495833396911621,991
EHI01254,100,8.279166221618652,796
EHI02826,100,12.741666793823242,713
EHI02824,100,12.741666793823242,713
EHI02823,100,12.283333230492714,1011.5000241574095
EHI02840,100,11.820833219783372,1377.4999974067348
EHI01258,100,9.625,671
EHI02773,100,12.495833396911621,991
EHI02817,100,10.820833191331298,1141.0000008045286
EHI02772,100,12.741666793823242,713
EHI02806,100,10.820833191331298,1141.0000008045286
EHI02831,100,10.445833206176758,895
EHI01266,100,16.079166412353516,484
EHI01339,100,9.625,671
EHI02801,100,12.495833396911621,991
EHI02812,100,12.229166318251965,1025.0000539990979
EHI02836,100,11.854166447470378,627.0000057840105
EHI02082,100,15.362500190734863,612
EHI02841,100,13.7,675.3
EHI02770,100,12.866666793823242,839
EHI02792,100,11.239582962276858,1113
EHI01341,100,16.079166412353516,484
EHI02098,100,15.362500190734863,612
EHI02776,100,12.229166318251965,1025.0000539990979
EHI02769,100,12.649999618530273,716
EHI01389,100,15.362500190734863,612
EHI02767,100,10.820833191331298,1141.0000008045286
EHI02819,100,12.820833206176758,1160
EHI02064,100,15.362500190734863,612
EHI02811,100,11.3562498174373,1422.9999986155367
EHI01268,100,8.279166221618652,796
EHI02804,100,9.341666221618652,1564
EHI02780,100,11.820833219783372,1377.4999974067348
EHI02789,100,11.820833219783372,1377.4999974067348
EHI02835,100,12.820833206176758,1160
EHI01343,100,15.362500190734863,612
EHI02785,100,9.916666984558105,1035
EHI01271,100,17.39583400239357,254.9999920133115
EHI02843,100,13.7,675.3
EHI02779,100,10.445833206176758,895
EHI02822,100,11.3562498174373,1422.9999986155367
EHI02797,100,9.341666221618652,1564
EHI02074,100,15.362500190734863,612
EHI02830,100,11.800000190734863,1383
EHI02784,100,12.866666793823242,839
EHI02766,100,10.445833206176758,895
EHI02771,100,9.341666221618652,1564
EHI02768,100,12.649999618530273,716
EHI01270,100,15.362500190734863,612
EHI02832,100,11.845833778381348,599
EHI02844,100,13.7,675.3
EHI02829,100,11.845833327160594,1369.4999949087528
EHI01264,100,15.362500190734863,612
EHI02837,100,12.495833396911621,991
EHI02774,100,11.3562498174373,1422.9999986155367
EHI02845,100,11.845833778381348,599
EHI02775,100,11.3562498174373,1422.9999986155367
EHI01259,100,9.625,671
EHI01387,100,17.39583400239357,254.9999920133115
EHI01248,100,8.279166221618652,796
EHI01257,100,17.39583400239357,254.9999920133115
EHI02839,100,12.199999809265137,1041
EHI01273,100,17.39583400239357,254.9999920133115
EHI02838,100,12.820833206176758,1160
EHI01265,100,8.279166221618652,796
EHI01345,100,15.362500190734863,612
EHI01256,100,17.39583400239357,254.9999920133115
EHI01272,200,8.279166221618652,796
EHI02760,200,9.32592283788282,1567.9487586816201
EHI01342,200,17.405595021053866,254.59694653148907
EHI02846,200,11.845833778381348,599
EHI01253,200,9.606231539646798,673.602559835644
EHI02796,200,12.523397662150742,988.4391895818214
EHI01254,200,8.279166221618652,796
EHI02826,200,12.741666793823242,713
EHI02824,200,12.741666793823242,713
EHI02823,200,12.276866433550936,1013.1931529653043
EHI02840,200,11.820732757630754,1377.5301522186464
EHI01258,200,9.606231539646798,673.602559835644
EHI02773,200,12.523397662150742,988.4391895818214
EHI02817,200,10.822723697952418,1140.8548124494494
EHI02772,200,12.741666793823242,713
EHI02806,200,10.822723697952418,1140.8548124494494
EHI02831,200,10.426063323717118,899.4353316230711
EHI01266,200,16.077512740544556,484.1526462701813
EHI01339,200,9.606231539646798,673.602559835644
EHI02801,200,12.523397662150742,988.4391895818214
EHI02812,200,12.229166131343387,1025.0001072684743
EHI02836,200,11.856187472093096,626.7089781365403
EHI02082,200,15.362500190734863,612
EHI02841,200,13.7,675.3
EHI02770,200,12.865784809551554,839.4233589103545
EHI02792,200,11.226943182197637,1113.9005825669838
EHI01341,200,16.077512740544556,484.1526462701813
EHI02098,200,15.362500190734863,612
EHI02776,200,12.229166131343387,1025.0001072684743
EHI02769,200,12.651104063336437,715.9156610464058
EHI01389,200,15.362500190734863,612
EHI02767,200,10.822723697952418,1140.8548124494494
EHI02819,200,12.820581595833453,1160.1570072499635
EHI02064,200,15.362500190734863,612
EHI02811,200,11.356249824247438,1422.9999974618174
EHI01268,200,8.279166221618652,796
EHI02804,200,9.32592283788282,1567.9487586816201
EHI02780,200,11.820732757630754,1377.5301522186464
EHI02789,200,11.820732757630754,1377.5301522186464
EHI02835,200,12.820581595833453,1160.1570072499635
EHI01343,200,15.362500190734863,612
EHI02785,200,9.916666984558105,1035
EHI01271,200,17.405595021053866,254.59694653148907
EHI02843,200,13.7,675.3
EHI02779,200,10.426063323717118,899.4353316230711
EHI02822,200,11.356249824247438,1422.9999974618174
EHI02797,200,9.32592283788282,1567.9487586816201
EHI02074,200,15.362500190734863,612
EHI02830,200,11.816830144807016,1379.242617571478
EHI02784,200,12.865784809551554,839.4233589103545
EHI02766,200,10.426063323717118,899.4353316230711
EHI02771,200,9.32592283788282,1567.9487586816201
EHI02768,200,12.651104063336437,715.9156610464058
EHI01270,200,15.362500190734863,612
EHI02832,200,11.845833778381348,599
EHI02844,200,13.7,675.3
EHI02829,200,11.845833352777,1369.4999898175058
EHI01264,200,15.362500190734863,612
EHI02837,200,12.523397662150742,988.4391895818214
EHI02774,200,11.356249824247438,1422.9999974618174
EHI02845,200,11.845833778381348,599
EHI02775,200,11.356249824247438,1422.9999974618174
EHI01259,200,9.606231539646798,673.602559835644
EHI01387,200,17.405595021053866,254.59694653148907
EHI01248,200,8.279166221618652,796
EHI01257,200,17.405595021053866,254.59694653148907
EHI02839,200,12.18698137275022,1043.851543321827
EHI01273,200,17.405595021053866,254.59694653148907
EHI02838,200,12.820581595833453,1160.1570072499635
EHI01265,200,8.279166221618652,796
