genome
EHA02075_bin.15
EHA02075_bin.23
EHA02075_bin.27
EHA02075_bin.31
EHA02075_bin.34
EHA02075_bin.37
EHA02075_bin.39
EHA02075_bin.43
EHA02075_bin.7
EHA02076_bin.17
EHA02077_bin.13
EHA02077_bin.20
EHA02077_bin.3
EHA02077_bin.4
EHA02077_bin.5
EHA02077_bin.7
EHA02078_bin.11
EHA02078_bin.28
EHA02078_bin.32
EHA02079_bin.12
EHA02079_bin.1
EHA02079_bin.32
EHA02079_bin.36
EHA02079_bin.37
EHA02079_bin.43
EHA02080_bin.13
EHA02080_bin.18
EHA02080_bin.20
EHA02080_bin.22
EHA02080_bin.6
EHA02080_bin.8
EHA02081_bin.15
EHA02081_bin.18
EHA02081_bin.22
EHA02081_bin.31
EHA02083_bin.10
EHA02085_bin.12
EHA02085_bin.14
EHA02085_bin.16
EHA02085_bin.7
EHA02085_bin.9
EHA02087_bin.12
EHA02087_bin.15
EHA02088_bin.17
EHA02088_bin.22
EHA02088_bin.24
EHA02088_bin.9
EHA02089_bin.24
EHA02089_bin.27
EHA02091_bin.20
EHA02091_bin.9
EHA02094_bin.18
EHA02094_bin.20
EHA02097_bin.4
EHA02134_bin.14
EHA02134_bin.23
EHA02134_bin.2
EHA02134_bin.38
EHA02134_bin.41
EHA02134_bin.42
EHA02134_bin.46
EHA02134_bin.4
EHA02134_bin.50
EHA02134_bin.55
EHA02134_bin.65
EHA02134_bin.67
EHA02134_bin.6
EHA02134_bin.70
EHA02134_bin.72
EHA02134_bin.74
EHA02134_bin.76
EHA02134_bin.77
EHA02134_bin.9
EHA02139_bin.101
EHA02139_bin.104
EHA02139_bin.106
EHA02139_bin.110
EHA02139_bin.1
EHA02139_bin.27
EHA02139_bin.33
EHA02139_bin.40
EHA02139_bin.41
EHA02139_bin.42
EHA02139_bin.47
EHA02139_bin.49
EHA02139_bin.4
EHA02139_bin.59
EHA02139_bin.60
EHA02139_bin.61
EHA02139_bin.63
EHA02139_bin.65
EHA02139_bin.66
EHA02139_bin.67
EHA02139_bin.70
EHA02139_bin.73
EHA02139_bin.74
EHA02139_bin.82
EHA02139_bin.83
EHA02139_bin.84
EHA02139_bin.86
EHA02139_bin.87
EHA02139_bin.88
EHA02139_bin.92
EHA02139_bin.98
EHA02144_bin.102
EHA02144_bin.43
EHA02144_bin.46
EHA02144_bin.79
EHA02144_bin.80
EHA02149_bin.8
EHA02151_bin.100
EHA02151_bin.104
EHA02151_bin.119
EHA02151_bin.11
EHA02151_bin.126
EHA02151_bin.133
EHA02151_bin.139
EHA02151_bin.141
EHA02151_bin.149
EHA02151_bin.150
EHA02151_bin.152
EHA02151_bin.159
EHA02151_bin.15
EHA02151_bin.27
EHA02151_bin.3
EHA02151_bin.43
EHA02151_bin.49
EHA02151_bin.63
EHA02151_bin.69
EHA02151_bin.80
EHA02151_bin.82
EHA02151_bin.87
