EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C	Code	ENA_sample_accession	Tube ID	Captures ID	Specimen ID	Species	geographic location (region and locality)	SE Batch	Freshness	Sampling_events	Development	Weight (g)	Sampling date	Taxid	taxon_id1	broad_environment	local_environment	environmental medium	host body product	host taxid	taxon_id	Sequenced
EHI01258	AHQ49	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.32	146.91	81.19	27277152	143391	0.0301369477256789	4016566103	21893733	0.042726801040858	18.269745256012	0.884685154900714	AHQ49		AHQ49	SD0288301	SD02883	Trichosurus vulpecula	Tasmania	SEB011	< 6 hours	MS0075	Adult	2960.0	6/30/2021	9337	9337	1000245 - Cropland	unknown	animal	Faecal	9337	1861841	1
EHI02773	AGN04	Trichosurus vulpecula	Forth, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.21	146.24	64.47	39080916	34983	0.0337967884929377	5590801410	4630464	0.0777554537654168	19.3959971263633	0.80970895808098	AGN04		AGN04	SD0459201	SD04592	Trichosurus vulpecula	Forth, Tasmania	SEB027	< 6 hours	MS0104	Adult	3700.0	4/14/2023	9337	9337	1000221 - Temperate woodland	(WVI) Eucalyptus viminalis wet forest	animal	Faecal	9337	1861841	1
EHI02817	AGN76	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.26	147.7	77.05	26018822	165439	0.0412008246783234	3706908249	23035237	0.0836718796945638	19.4242468890669	0.723253407417307	AGN76		AGN76	SD0468401	SD04684	Trichosurus vulpecula	Ringarooma, Tasmania	SEB028	< 6 hours	MS0104	Adult	3670.0	5/18/2023	9337	9337	1000245 - Cropland	(FPU) Unverified plantations for silviculture	animal	Faecal	9337	1861841	1
EHI02772	AGM84	Trichosurus vulpecula	Friendly Beaches, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.02	148.28	71.82	35339862	929954	0.0351080079849902	4967016317	133333189	0.0716269360234794	18.8074378511085	0.851512444676855	AGM84		AGM84	SD0456701	SD04567	Trichosurus vulpecula	Friendly Beaches, Tasmania	SEB027	< 6 hours	MS0104	Adult	3068.0	3/14/2023	9337	9337	1000215 - Temperate shrubland	(SCH) Coastal heathland	animal	Faecal	9337	1861841	1
EHI02806	AGN66	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.26	147.7	73.37	40871000	619939	0.036042996477716	5827831715	89581175	0.0695714813195113	19.9368098691561	0.719671558144185	AGN66		AGN66	SD0468101	SD04681	Trichosurus vulpecula	Ringarooma, Tasmania	SEB028	< 6 hours	MS0104	Adult	3670.0	5/16/2023	9337	9337	1000221 - Temperate woodland	(RMS) Nothofagus - Phyllocladus short rainforest	animal	Faecal	9337	1861841	1
EHI02831	AGN09	Trichosurus vulpecula	Mountain River, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.92	147.14	75.72	34937064	1728759	0.0518705663625341	4791537955	249927066	0.0878910383799804	19.0812289544508	0.792796659352183	AGN09		AGN09	SD0465101	SD04651	Trichosurus vulpecula	Mountain River, Tasmania	SEB028	< 6 hours	MS0104	Adult	2300.0	2/18/2023	9337	9337	1000245 - Cropland	(FAG) Agricultural land	animal	Faecal	9337	1861841	1
EHI01266	AEC57	Trichosurus vulpecula v. hypoleucus	Dryandra	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-32.79	116.96	96.7	27199700	27165	0.0296907904368693	4035697548	4145198	0.039230427386918	17.8115211840727	0.901093659865426	AEC57		AEC57	SD0285201	SD02852	Trichosurus vulpecula	Dryandra	SEB011	< 6 hours	MS0075	Adult		4/25/2022	9337	9337	1000221 - Temperate woodland	Open Forest 	animal	Faecal	9337	1861841	1
EHI01339	AHQ48	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.32	146.91	85.86	35146454	549463	0.024611628601683	5111588919	82072269	0.0390995105304283	18.1220205002594	0.887458855139317	AHQ48		AHQ48	SD0288201	SD02882	Trichosurus vulpecula	Tasmania	SEB011	< 6 hours	MS0075	Adult	2940.0	6/29/2021	9337	9337	1000245 - Cropland	unknown	animal	Faecal	9337	1861841	1
EHI02801	AGN26	Trichosurus vulpecula	Forth, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.21	146.24	62.24	27030326	282547	0.0601071444069712	3749684604	36344570	0.1223532236325042	19.5612111709132	0.753144678770649	AGN26		AGN26	SD0460301	SD04603	Trichosurus vulpecula	Forth, Tasmania	SEB028	< 6 hours	MS0104	Adult	3700.0	4/16/2023	9337	9337	1000221 - Temperate woodland	(NAD) Acacia dealbata forest	animal	Faecal	9337	1861841	1
EHI02812	AGN29	Trichosurus vulpecula	Pioneer, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.1	147.97	73.99	34922904	408315	0.0337721668181459	4996979764	57112125	0.0677743075412717	18.1375720466122	0.879607165072362	AGN29		AGN29	SD0462601	SD04626	Trichosurus vulpecula	Pioneer, Tasmania	SEB028	< 6 hours	MS0104	Adult	3600.0	5/10/2023	9337	9337	1000221 - Temperate woodland	(DVG) Eucalyptus viminalis grassy forest and woodland	animal	Faecal	9337	1861841	1
