"id","h1","pop_density_1km","annual_mean_temp","annual_precipitation","Overall_Density","devil_density_baseline"
"EHI01272",1,0.0128326183184981,8.27916622161865,796,52.5,0.248944163322449
"EHI02760",1.02528357908038,0,9.34166622161865,1564,79.8955,0.210193639000257
"EHI01342",1.68091525762577,0.000873136741574854,17.3958340034043,254.999991770745,23.6462,0
"EHI02846",2.93292974111364,0.104520842432976,11.8458337783813,599,52.49475,0.156215300162633
"EHI01253",2.9076179322523,0.0269408505409956,9.625,671,57.626,0.364457716544469
"EHI02796",1,5.60269117355347,12.4958333969116,991,80,0.282512158155441
"EHI01254",1,0.0128326183184981,8.27916622161865,796,52.5,0.248944163322449
"EHI02826",1,0.128587946295738,12.7416667938232,713,52.5,0.148132105668386
"EHI02824",1,0.128587946295738,12.7416667938232,713,52.5,0.148132105668386
"EHI02823",1.40373225815597,0.550718009471893,12.2833332035457,1011.50003331937,77.07125,0.116369557877382
"EHI02840",1,1.11433017253876,11.8208332061768,1377.5,80,0.469344685475032
"EHI01258",2.9076179322523,0.0269408505409956,9.625,671,57.626,0.364457716544469
"EHI02773",1,5.60269117355347,12.4958333969116,991,80,0.282512158155441
"EHI02817",4.31868047671536,1.84072959423065,10.8208332061768,1141,73.08875,0.369677931070328
"EHI02772",1,0.128587946295738,12.7416667938232,713,52.5,0.148132105668386
"EHI02806",4.31868047671536,1.84072959423065,10.8208332061768,1141,73.08875,0.369677931070328
"EHI02831",6.15634414021299,19.1445865631104,10.4458332061768,895,62.0455,0.19277235865593
"EHI01266",1.70822048368445,0.0225055608898401,16.0791664123535,484,12.1604,0
"EHI01339",2.9076179322523,0.0269408505409956,9.625,671,57.626,0.364457716544469
"EHI02801",1,5.60269117355347,12.4958333969116,991,80,0.282512158155441
"EHI02812",1.4282282508481,0.470455795526505,12.2291662463947,1025.0000744786,76.843,0.119561776518822
"EHI02836",5.40626397687034,3.39285778999329,11.8541664236208,627.000008073551,34.32495,0.109422114988168
"EHI02082",2.40078688229025,0.342087954282761,15.3625001907349,612,23.3124,0
"EHI02841",3.46861749293184,1.56636345386505,13.7,675.3,5.97675,0.147071500619253
