EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI02770	AGN73	Trichosurus vulpecula	Mount William, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.04	148.24	63.71	23574948	114768	0.0360947436525626	3392955349	15636651	0.07088950368166969	18.3826116588389	0.841512036700287
EHI02792	AGN94	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.25	147.71	70.49	35472050	108660	0.03021582096549491	5109895973	15462248	0.0658389136216192	19.2507208888291	0.786656206045657
EHI01340	AED03	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	3.32	16739828	549883	0.0543734097464712	2247487899	78517930	0.12403203466323842	18.524919490059	0.686752256603581
EHI01341	AEC56	Trichosurus vulpecula v. hypoleucus	Dryandra	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-32.79	116.96	84.01	31334924	158302	0.02662315603117993	4539556423	23522716	0.055027638150160985	18.3578028186749	0.88778240040597
EHI02098	AEC24	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	84.46	38557976	1022967	0.048771990469655524	5418680977	139932802	0.08579068556466474	18.60904505	0.908964547
EHI02776	AGN12	Trichosurus vulpecula	Pioneer, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.1	147.97	84.61	29842356	58963	0.031136314007565447	4330876113	8270565	0.0608333907441474	17.2016027203815	0.877099528820605
EHI02769	AGN11	Trichosurus vulpecula	Friendly Beaches, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.01	148.27	71.51	16295170	127890	0.05439007954994657	2330229620	15625837	0.09246556205260259	19.3121874191636	0.716738850879404
EHI01389	AEC30	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	87.37	38769046	1009159	0.024197625054530048	5580675912	150555697	0.03831363894024331	18.7839599981431	0.888392484201531
EHI02767	AGN36	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-41.26	147.7	74.01	41653014	190375	0.027851520607939717	6001598654	27589923	0.061889973980669644	19.7494763535782	0.754674766515434
EHI02819	AGN82	Trichosurus vulpecula	Rocky Cape, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-40.89	145.48	73.55	25035276	19942	0.03192624484560058	3638455754	2853452	0.06130962919929339	20.1322325438739	0.648630360471713
EHI02064	AEC24	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	84.61	34023062	521197	0.0426766827100965	4895204944	73958684	0.06786829699743235	19.52662752	0.74172077
EHI02811	AGN37	Trichosurus vulpecula	Dip River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.03	145.4	70.08	30839716	98715	0.02935143649441818	4458504356	13750538	0.061602299127979876	19.6540532004169	0.753003858483783
EHI01268	AHQ54	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.02	147.02	83.27	18056052	289794	0.021603343445281475	2608124582	43538943	0.042101884668882095	17.7778335301892	0.899062607879323
EHI02804	AGM55	Trichosurus vulpecula	Mersey Forests, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.69	146.21	70.17	39110216	1082660	0.03522720976767979	5497421268	159371043	0.0697197373957732	18.93483107065	0.850324489798253
EHI02780	AGN87	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.09	145.6	70.67	31087942	284796	0.03384711372785598	4451781474	41239947	0.06910411031567165	19.3778371094523	0.770418774489825
EHI02789	AGN60	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.09	145.6	74.34	38830346	1173774	0.03346886055083664	5434645424	170396074	0.06989460498724631	18.8053429872158	0.842385310059114
EHI02835	AGN92	Trichosurus vulpecula	Rocky Cape, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-40.89	145.48	68.08	37324370	332551	0.024618801788846678	5326635410	46904442	0.06383778400383022	19.4533282834349	0.785206889633516
EHI01343	AEC25	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	90.81	35238286	750013	0.025074672288529998	5120370928	112255644	0.034871678019215424	18.4717705795555	0.894989972307286
EHI02785	AGM54	Trichosurus vulpecula	Mountain River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.93	147.12	76.56	30000076	101696	0.034848445852561194	4320443255	14638539	0.07022214858491982	18.6050872549458	0.8132794196128
EHI01271	AED57	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	93.95	17022416	58333	0.018477451365022213	2507187776	8773597	0.03285455323767672	18.4710463228709	0.839477165120996
EHI02843	AGN55	Trichosurus vulpecula	Green Beach, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.07	146.72	68.08	34102826	186417	0.04378657178226497	4812654913	25768852	0.09556551598767582	19.0528614472459	0.805101528960003
EHI02779	AGM46	Trichosurus vulpecula	Mountain River, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-42.92	147.14	59.79	23704626	210165	0.03059586680941795	3291012144	29550201	0.09470079475626081	18.8332534419981	0.817547125677111
